HomeParkZipCode,HomeParkInseeCode,nom_commune_postal,latitude,longitude,code_departement,nom_departement,code_region,JobParkZipCode,JobParkInseeCode
01320,01129,CRANS,45.9663793103,5.19490390871,01,Ain,84,18350,18054
01340,01130,CRAS SUR REYSSOUZE,46.3130831891,5.17796707174,01,Ain,84,18390,18247
01350,01133,CRESSIN ROCHEFORT,45.7826434885,5.76546256637,01,Ain,84,24410,24490
01290,01134,CROTTET,46.283072336,4.87747971182,01,Ain,84,10110,10055
01750,01134,CROTTET,46.283072336,4.87747971182,01,Ain,84,21240,21617
01170,01135,CROZET,46.2915659686,5.99510417092,01,Ain,84,21330,21044
01290,01136,CRUZILLES LES MEPILLAT,46.2220588715,4.8752193513,01,Ain,84,02880,02551
01350,01138,CULOZ,45.8559966843,5.78398308932,01,Ain,84,11120,11233
01560,01139,CURCIAT DONGALON,46.4885456881,5.16344336837,01,Ain,84,24230,24370
01310,01140,CURTAFOND,46.273150382,5.1020896267,01,Ain,84,01400,01084
01300,01141,CUZIEU,45.8200002803,5.6765554896,01,Ain,84,08240,08233
01120,01142,DAGNEUX,45.8531616918,5.07289166803,01,Ain,84,02600,02410
01220,01143,DIVONNE LES BAINS,46.3756333495,6.1158647611,01,Ain,84,10800,10049
01380,01144,DOMMARTIN,46.33627762,4.99863894,01,Ain,84,25300,25201
01240,01145,DOMPIERRE SUR VEYLE,46.0667883703,5.21665199666,01,Ain,84,21570,21628
01400,01146,DOMPIERRE SUR CHALARONNE,46.1415406621,4.90141714714,01,Ain,84,19160,19228
01270,01147,DOMSURE,46.4244066427,5.29313479651,01,Ain,84,17160,17029
01590,01148,DORTAN,46.3133221173,5.64146584117,01,Ain,84,22830,22208
01500,01149,DOUVRES,45.984297392,5.37106901673,01,Ain,84,01170,01173
01250,01150,DROM,46.2196603059,5.36799994918,01,Ain,84,22300,22030
01160,01151,DRUILLAT,46.067579544,5.29361666429,01,Ain,84,16560,16024
01130,01152,ECHALLON,46.2271364137,5.73330448395,01,Ain,84,01150,01444
01170,01153,ECHENEVEX,46.3160845207,6.01926187996,01,Ain,84,12000,12090
01340,01154,ETREZ,46.3380891758,5.19286414645,01,Ain,84,24420,24262
01230,01155,EVOSGES,45.965147537,5.50283599885,01,Ain,84,03230,03120
01800,01156,FARAMANS,45.9104942091,5.1249258559,01,Ain,84,24120,24204
01480,01157,FAREINS,46.020997974,4.7620080898,01,Ain,84,07590,07232
01550,01158,FARGES,46.166230455,5.90019477201,01,Ain,84,07150,07328
01570,01159,FEILLENS,46.3365833672,4.88507050971,01,Ain,84,22390,22249
01210,01160,FERNEY VOLTAIRE,46.2519789243,6.10826403805,01,Ain,84,16260,16336
01350,01162,FLAXIEU,45.8113298005,5.74459048839,01,Ain,84,19220,19237
01340,01163,FOISSIAT,46.3784759782,5.18483641417,01,Ain,84,02210,02119
01090,01165,FRANCHELEINS,46.0735946256,4.81293575559,01,Ain,84,25640,25163
01090,01165,FRANCHELEINS,46.0735946256,4.81293575559,01,Ain,84,13100,13001
01090,01165,FRANCHELEINS,46.0735946256,4.81293575559,01,Ain,84,17500,17341
01480,01166,FRANS,45.9939065077,4.78033196905,01,Ain,84,17240,17402
01140,01167,GARNERANS,46.2136224825,4.82843188743,01,Ain,84,10500,10138
01090,01169,GENOUILLEUX,46.1201611728,4.79288195016,01,Ain,84,04270,04074
01460,01170,BEARD GEOVREISSIAT,46.1896733539,5.55139781353,01,Ain,84,09210,09167
01100,01171,GEOVREISSET,46.2508621615,5.61271973915,01,Ain,84,06130,06069
01250,01172,GERMAGNAT,46.3054983344,5.45012798616,01,Ain,84,04150,04018
01170,01173,GEX,46.3471891747,6.04650555568,01,Ain,84,14770,14146
01130,01174,GIRON,46.2227121191,5.78049809256,01,Ain,84,23250,23155
01190,01175,GORREVOD,46.414943437,4.95120595427,01,Ain,84,04120,04069
01250,01177,GRAND CORENT,46.207387937,5.43318666027,01,Ain,84,02380,02219
01290,01179,GRIEGES,46.2633634407,4.84621318847,01,Ain,84,21230,21566
01220,01180,GRILLY,46.3318810665,6.11366767978,01,Ain,84,19210,19223
01100,01181,GROISSIAT,46.2260039429,5.61095413441,01,Ain,84,02190,02005
01090,01183,GUEREINS,46.106624674,4.78159420118,01,Ain,84,21800,21605
01250,01184,HAUTECOURT ROMANECHE,46.1611241927,5.42944457639,01,Ain,84,10700,10095
01250,01184,HAUTECOURT ROMANECHE,46.1611241927,5.42944457639,01,Ain,84,24260,24388
01110,01185,HAUTEVILLE LOMPNES,45.9696520061,5.57627261783,01,Ain,84,12120,12234
01110,01186,HOSTIAZ,45.9061631889,5.54077986031,01,Ain,84,15800,15146
01260,01187,HAUT VALROMEY,46.0317412192,5.70267027388,01,Ain,84,21110,21242
01260,01187,HAUT VALROMEY,46.0317412192,5.70267027388,01,Ain,84,08360,08225
01260,01187,HAUT VALROMEY,46.0317412192,5.70267027388,01,Ain,84,14940,14666
01260,01187,HAUT VALROMEY,46.0317412192,5.70267027388,01,Ain,84,11170,11308
01140,01188,ILLIAT,46.1866986838,4.88840344003,01,Ain,84,23260,23266
01200,01189,INJOUX GENISSIAT,46.0497734524,5.75991363273,01,Ain,84,03460,03290
01200,01189,INJOUX GENISSIAT,46.0497734524,5.75991363273,01,Ain,84,24590,24317
01680,01190,INNIMOND,45.7919647191,5.57389398559,01,Ain,84,16360,16380
01430,01191,IZENAVE,46.0381623415,5.52447901164,01,Ain,84,17130,17282
01580,01192,IZERNORE,46.2179780137,5.56258251719,01,Ain,84,01220,01180
01300,01193,IZIEU,45.6557496407,5.63909140794,01,Ain,84,23700,23013
01480,01194,JASSANS RIOTTIER,45.9777239103,4.75984637871,01,Ain,84,02170,02324
01250,01195,JASSERON,46.2150037064,5.31215372338,01,Ain,84,14370,14410
01340,01196,JAYAT,46.3660828991,5.11429701617,01,Ain,84,03120,03205
01250,01197,JOURNANS,46.1464982407,5.33452833151,01,Ain,84,07140,07284
01800,01198,JOYEUX,45.9499899849,5.10261326872,01,Ain,84,10400,10225
01640,01199,JUJURIEUX,46.0497041467,5.41094771899,01,Ain,84,22220,22221
01450,01200,LABALME,46.0932491295,5.49438685213,01,Ain,84,03340,03025
